unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,HAZ_NHAZ,DSP_O,W075,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,IS	8 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,NO	2 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W076,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W077_08,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W081,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W0841,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W08A,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W09,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W09,AT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,BE	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,BG	6 	4 	21 	1 	5 	13 
KG_HAB,HAZ_NHAZ,DSP_O,W09,CY	0 	0 	1 	0 	0 	3 
KG_HAB,HAZ_NHAZ,DSP_O,W09,CZ	0 	0 	0 	0 	1 	8 
KG_HAB,HAZ_NHAZ,DSP_O,W09,DE	: c	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,DK	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,EE	0 	0 	0 	0 	0 	3 
KG_HAB,HAZ_NHAZ,DSP_O,W09,EL	3 	2 	0 	0 	1 	1 
KG_HAB,HAZ_NHAZ,DSP_O,W09,ES	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,EU28	0 	1 	1 	1 	2 	1 
KG_HAB,HAZ_NHAZ,DSP_O,W09,FI	3 	5 	5 	1 	1 	1 
KG_HAB,HAZ_NHAZ,DSP_O,W09,FR	2 	2 	0 	0 	1 	1 
KG_HAB,HAZ_NHAZ,DSP_O,W09,HR	0 	0 	39 	1 	0 	18 
KG_HAB,HAZ_NHAZ,DSP_O,W09,HU	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,IE	0 	0 	0 	0 	2 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,IS	48 b	0 	0 	0 	: 	103 
KG_HAB,HAZ_NHAZ,DSP_O,W09,IT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,LT	0 	1 	20 	66 	90 	2 
KG_HAB,HAZ_NHAZ,DSP_O,W09,LU	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,LV	0 	0 	3 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,ME	6 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W09,MK	38 	0 	1 	0 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W09,MT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,NL	0 	0 	0 	0 	1 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,NO	2 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,PL	0 	0 	0 	1 	1 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,PT	0 	0 	0 	: 	5 	1 
KG_HAB,HAZ_NHAZ,DSP_O,W09,RO	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,RS	0 	2 	2 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W09,SE	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,SI	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,SK	0 	9 	2 	1 	5 	26 
KG_HAB,HAZ_NHAZ,DSP_O,W09,TR	: 	: 	0 	0 	0 	0 
KG_HAB,HAZ_NHAZ,DSP_O,W09,UK	0 	0 	0 	2 	3 	3 
KG_HAB,HAZ_NHAZ,DSP_O,W091,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W091,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W091,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W091,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W091,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W091,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W091,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W091,DK	0 	0 	0 	: 	: 	: 
